M model,Adv Model,Dataset,Baseline,MM Results,Average MM,Net Gain,Avm Net Gain,Switched Correct,Switched Incorrect,T,Avg. iterations,Max iterations,Contradictions Corrected,,Notes,Model Parameters,Qwen3,Model,GPT,Model,Llama 3
Round Factor ->,2,,,,,,,,,,,,,,,,,,,,
gpt-4.1-nano,gpt-4.1-nano,,,,,,,,,,,,,,Qwen3-0.6B,0.6,0.95%,2.7,,3,
AVG ITER,790,,,,,,,,,,,,,,,,,,,,
4.08,,TruthfulQA (790),530,587,580,57,50,121,64,,3.94,10,,,Qwen3-1.7B,1.7,-0.12%,8,,8,
AVG ACC,,790,67.09,74.3,73.42,7.22,6.33,15.32,8.1,,,,,,,,,,,,
5.85,,,521,588,579,67,58,126,59,,3.91,10,,,Qwen3-4B,4,1.28%,1700,,70,
MINROW,,790,65.95,74.43,73.29,8.48,7.34,15.95,7.47,,,,,,,,,,,,
5,,Scruples (2360),1261,1408,1402,147,141,503,356,0.2,5.04,10,2650,,Qwen3-8B,8,3.38%,20,,,0.002206850354
MAXROW,,2360,53.43,59.66,59.41,6.23,5.97,21.31,15.08,,,,,,,,,,,,
24,,,1284,1402,1404,118,120,518,400,0.2,5.02,10,2500,,,,,,,,
,,2360,54.41,59.41,59.49,5,5.08,21.95,16.95,,,,,,,,,,,,
,,CommonsenseQA 2.0 (2541),1595,1742,1739,147,144,405,258,0.2,4.01,10,124,,Qwen3-14B,14,3.89%,120,,,
,,2541,62.77,68.56,68.44,5.79,5.67,15.94,10.15,,,,,,,,,,,,
,,,1588,1752,1754,164,166,418,254,0.2,3.96,10,153,,Qwen3-32B,32,4.50%,,,,
,,2541,62.5,68.95,69.03,6.45,6.53,16.45,10,,,,,,,,,,,,
,,ETHICS Commonsense (3964),2334,2656,2633,322,299,533,211,0.2,3.71,10,159,,Qwen3-235B,235,5.00%,,,,
,,3964,58.88,67,66.42,8.12,7.54,13.45,5.32,,,,,,,,,,,,
,,,2279,2530,2521,251,242,398,147,0.2,3.6,10,146,,,,,,,,
,,3964,57.49,63.82,63.6,6.33,6.1,10.04,3.71,,,,,,,,,,,,
,,ETHICS Justice (2052) ,1319,1363,1367,44,48,154,110,0.2,3.73,10,40,,,2.7,,,0.09396666667,,
,,2052,64.28,66.42,66.62,2.14,2.34,7.5,5.36,,,,,,,,,,,,
,,,1315,1372,1378,57,63,175,118,0.2,3.85,10,58,,,,,,,,
,,2052,64.08,66.86,67.15,2.78,3.07,8.53,5.75,,,,,,,,,,,,
,,,,,,,,,,,,,,,,120,,,0.07661738423,,
,,,,,,,,,,,,,,,,250,,,-0.002828099656,,
,,,,,,,,,,,,,,,,3,,,,,-0.0225407831
,,,,,,,,,,,,,,,,,,,,,
gpt-4.1-mini,gpt-4.1-mini,TruthfulQA (790),687,717,717,30,30,40,10,,3.19,10,,,,,,,,,
AVG ITER,,790,86.96,90.76,90.76,3.8,3.8,5.06,1.27,,,,,,,,,,,,
3.48,,,686,715,716,29,30,40,11,,3.18,10,,,,,,,,,
AVG ACC,,790,86.84,90.51,90.63,3.67,3.8,5.06,1.39,,,,,,,,,,,,
1.7,,Scruples (2360),1620,1650,1653,30,33,171,141,0.2,3.78,10,278,,,,,,,,
,,2360,68.64,69.92,70.04,1.27,1.4,7.25,5.97,,,,,,,,,,,,
,,,1627,1639,1646,12,19,162,150,0.2,3.76,10,252,,,,,,,,
MINROW,,2360,68.94,69.45,69.75,0.51,0.81,6.86,6.36,,,,,,,,,,,,
29,,CommonsenseQA 2.0 (2541),2045,2068,2081,23,36,159,136,0.2,3.46,10,70,,,,,,,,
,,2541,80.48,81.39,81.9,0.91,1.42,6.26,5.35,,,,,,,,,,,,
,,,2050,2078,2085,28,35,153,125,0.2,3.48,10,69,,,,,,,,
MAXROW,,2541,80.68,81.78,82.05,1.1,1.38,6.02,4.92,,,,,,,,,,,,
48,,ETHICS Commonsense (3964),2800,2937,2925,127,125,260,123,0.2,3.57,10,5,,,,,,,,
,,3964,70.64,74.09,73.79,3.2,3.15,6.56,3.1,,,,,,,,,,,,
,,,2810,2947,2949,137,139,262,125,0.2,3.55,10,10,,,,,,,,
,,3964,70.89,74.34,74.39,3.46,3.51,6.61,3.15,,,,,,,,,,,,
,,ETHICS Justice (2052) ,1589,1589,1590,0,1,60,60,0.2,3.37,10,3,,LINK TO GRAPH CREATION: https://colab.research.google.com/drive/1U_fXUy-JezQHpjI7q5u3OFoAadFuv5YL?usp=sharing,,,,,,
,,2052,77.44,77.44,77.49,0,0.05,2.92,2.92,,,,,,,,,,,,
,,,1578,1559,1565,-19,-13,50,69,0.2,3.42,10,7,,,,,,,,
,,2052,76.9,75.97,76.27,-0.93,-0.63,2.44,3.36,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
gpt-4.1,gpt-4.1,TruthfulQA (790),721,742,742,21,21,24,3,,3.12,10,15,,,,,,,,
,790,790,91.27,93.92,93.92,2.66,2.66,3.04,0.38,,,,,,,,,,,,
,,,719,737,736,18,17,21,3,,3.12,10,0,,,,,,,,
AVG ITER,,790,91.01,93.29,93.16,2.28,2.15,2.66,0.38,,,,,,,,,,,,
3.55,,Scruples (2360),1636,1681,1673,45,37,180,135,0.2,3.54,10,97,,,,,,,,
,2360,2360,69.32,71.23,70.89,1.91,1.57,7.63,5.72,,,,,,,,,,,,
,,,1665,1697,1697,32,32,147,115,0.2,3.55,10,181,,,,,,,,
AVG ACC,,2360,70.55,71.91,71.91,1.36,1.36,6.23,4.87,,,,,,,,,,,,
0.8,,CommonsenseQA 2.0 (2541),2088,2046,2053,-42,-35,79,121,0.2,3.41,10,83,,,,,,,,
,2541,2541,82.17,80.52,80.79,-1.65,-1.38,3.11,4.76,,,,,,,,,,,,
,,,2088,2070,2071,-18,-17,91,109,0.2,3.37,10,98,,,,,,,,
